Algoritm,Tip Lista,Dimensiune,Timp Mediu
Selection,Reverse Sorted,1000,0.028937009995570407
Merge,Reverse Sorted,1000,0.0015926099964417516
Quick,Reverse Sorted,1000,0.002493460004916415

Bubble,Almost Sorted,1000,0.028114880010252818
Insertion,Almost Sorted,1000,0.0036191499850247054
Selection,Almost Sorted,1000,0.024825730005977674
Merge,Almost Sorted,1000,0.002122069988399744
Quick,Almost Sorted,1000,0.0019078399986028672

Bubble,Flat,1000,0.04813888999051415
Insertion,Flat,1000,0.022555949992965906
Selection,Flat,1000,0.026133630011463536
Merge,Flat,1000,0.00233853998943232
Quick,Flat,1000,0.00029233000823296605

Bubble,Random,5000,1.293394839996472
Insertion,Random,5000,0.7125563999987208
Selection,Random,5000,0.6029291399754584
Merge,Random,5000,0.011822980013675988
Quick,Random,5000,0.009365239983890206

Bubble,Sorted,5000,0.00039875999791547654
Insertion,Sorted,5000,0.0008185400045476853
Selection,Sorted,5000,0.6070108199957758
Merge,Sorted,5000,0.009038339997641743
Quick,Sorted,5000,0.02448219999205321

Bubble,Reverse Sorted,5000,1.5787071000086144
Insertion,Reverse Sorted,5000,1.4157031199894845
Selection,Reverse Sorted,5000,0.8391688200063072
Merge,Reverse Sorted,5000,0.012341060000471771
Quick,Reverse Sorted,5000,0.02846366000594571

Bubble,Almost Sorted,5000,1.0649734800099395
Insertion,Almost Sorted,5000,0.11093423999845982
Selection,Almost Sorted,5000,1.172634960000869
Merge,Almost Sorted,5000,0.013979240029584616
Quick,Almost Sorted,5000,0.012747140019200742

Bubble,Flat,5000,1.4904409599956125
Insertion,Flat,5000,0.7407279599923641
Selection,Flat,5000,1.0194583200151102
Merge,Flat,5000,0.020532660000026227
Quick,Flat,5000,0.002023899997584522

Bubble,Random,10000,8.516489420004655
Insertion,Random,10000,3.719000040018
Selection,Random,10000,4.595991580013651
Merge,Random,10000,0.04008669999893755
Quick,Random,10000,0.035964660008903596

Bubble,Sorted,10000,0.0012438799953088165
Insertion,Sorted,10000,0.0023991999914869666
Selection,Sorted,10000,3.633637799997814
Merge,Sorted,10000,0.0246803599759005
Quick,Sorted,10000,0.09990817999932915

Bubble,Reverse Sorted,10000,9.060492860001977
Insertion,Reverse Sorted,10000,5.610695640009363
Selection,Reverse Sorted,10000,3.014782940002624
Merge,Reverse Sorted,10000,0.019201540015637876
Quick,Reverse Sorted,10000,0.059058099973481146

Bubble,Almost Sorted,10000,4.169176740013063
Insertion,Almost Sorted,10000,0.4602739800000563
Selection,Almost Sorted,10000,3.9146368599962442
Merge,Almost Sorted,10000,0.03148614000529051
Quick,Almost Sorted,10000,0.029085859993938357

Bubble,Flat,10000,6.498889460007194
Insertion,Flat,10000,3.1223518199985847
Selection,Flat,10000,3.8926896600052716
Merge,Flat,10000,0.030985079996753484
Quick,Flat,10000,0.004304779996164143
